id,observed_on_string,observed_on,time_observed_at,time_zone,user_login,updated_at,quality_grade,license,url,image_url,tag_list,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5565528,2012/02/26 5:34 PM ART,2012-02-26,2012-02-26 20:34:00 UTC,Buenos Aires,carancho,2019-12-14 00:32:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/5565528,https://inaturalist-open-data.s3.amazonaws.com/photos/6870548/medium.jpeg,"",1,0,false,,-34.8531859678,-54.9847788931,6260,,,,28776,,obscured,true,,,Green Sea Turtle,Chelonia mydas,Tortuga verde,Reptilia,39659
7036609,2017-07-12 12:03:03 p. m. GMT-03:00,2017-07-12,2017-07-12 09:03:03 UTC,Baghdad,weleaf,2020-01-05 16:57:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7036609,https://inaturalist-open-data.s3.amazonaws.com/photos/9027738/medium.jpeg,"",5,0,false,"n.a83, UY-TT, UY",-32.86673689,-54.861358,4,,,,4,,open,false,,,Culebra verde y amarilla,Erythrolamprus poecilogyrus,Culebra verde y amarilla,Reptilia,539693
7191892,2015/02/11 11:51 AM EST,2015-02-11,2015-02-11 16:51:00 UTC,Eastern Time (US & Canada),megtc,2021-11-04 17:50:16 UTC,research,CC-BY,https://www.inaturalist.org/observations/7191892,https://inaturalist-open-data.s3.amazonaws.com/photos/9272464/medium.jpg,"",2,0,false,"Carrasco, 11500 Montevideo, Montevideo Department, Uruguay",-34.8860942707,-56.0591125488,977,,,,977,,open,false,,,Amphisbaena munoai,Amphisbaena munoai,,Reptilia,31823
7674447,2013/03/02 9:55 PM CET,2013-03-02,2013-03-02 20:55:00 UTC,Paris,aurelien_miralles,2021-11-01 15:41:51 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/7674447,https://inaturalist-open-data.s3.amazonaws.com/photos/10050529/medium.jpeg,"",8,0,false,"27202 Aguas Dulces, Rocha, Uruguay",-34.2750352,-53.783028,1080,,,,1080,,,false,,,"víbora de la cruz, crucera",Bothrops alternatus,Crucera,Reptilia,539037
7674458,2013/03/08 8:27 PM CET,2013-03-08,2013-03-08 19:27:00 UTC,Paris,aurelien_miralles,2017-10-03 14:48:22 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/7674458,https://inaturalist-open-data.s3.amazonaws.com/photos/10050565/medium.jpeg,"",1,0,false,"27202 Cabo Polonio, Rocha, Uruguay",-34.402302,-53.794941,1790,,,,1790,,open,false,,,Darwin's Ringed Worm Lizard,Amphisbaena darwinii,Vibora Ciega,Reptilia,539252
7674481,2013/03/02 10:20 PM CET,2013-03-02,2013-03-02 21:20:00 UTC,Paris,aurelien_miralles,2021-10-04 16:22:31 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/7674481,https://inaturalist-open-data.s3.amazonaws.com/photos/10050597/medium.jpeg,"",5,0,false,"Rocha, Uruguay",-34.2685099813,-53.7790797238,732,,,,732,,open,false,,,Culebra verde y amarilla,Erythrolamprus poecilogyrus,Culebra verde y amarilla,Reptilia,539693
7674589,2013/03/06 4:22 PM CET,2013-03-06,2013-03-06 15:22:00 UTC,Paris,aurelien_miralles,2017-10-03 14:46:45 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/7674589,https://inaturalist-open-data.s3.amazonaws.com/photos/10050765/medium.jpeg,"",1,0,false,"Punta del Este, Maldonado, Uruguay",-34.9368789,-54.9281496,16552,,,,16552,,open,false,,,Ocellated Whiptail Lizard,Teius oculatus,Lagartija verde común,Reptilia,113828
7674617,2013/03/04 7:29 PM CET,2013-03-04,2013-03-04 18:29:00 UTC,Paris,aurelien_miralles,2021-10-04 16:22:49 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/7674617,https://inaturalist-open-data.s3.amazonaws.com/photos/10050790/medium.jpeg,"",4,0,false,"Rocha, Uruguay",-34.0037425716,-53.5486644153,1319,,,,1319,,open,false,,,Tegu blanco y negro,Salvator merianae,Lagarto Overo,Reptilia,318758
7674661,2013/03/05 9:13 PM CET,2013-03-05,2013-03-05 20:13:00 UTC,Paris,aurelien_miralles,2019-08-29 18:45:13 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/7674661,https://inaturalist-open-data.s3.amazonaws.com/photos/10050824/medium.jpeg,"",2,0,false,"Parada 45 mansa, 20003 Departamento de Maldonado, Uruguay",-34.8513281,-55.0191916,194,,,,194,,open,false,,,Tegu blanco y negro,Salvator merianae,Lagarto Overo,Reptilia,318758
8398578,2017-10-14 10:32:21 AM GMT-02:00,2017-10-14,2017-10-14 08:32:21 UTC,Africa/Johannesburg,masai,2021-02-20 03:57:35 UTC,research,,https://www.inaturalist.org/observations/8398578,https://static.inaturalist.org/photos/11173507/medium.jpeg,"",5,1,false,"10, Rocha, Uruguay",-34.4667812663,-53.945478536,11007,,,,11007,,open,false,gps,gps,falsa yarará de hocico ñato,Xenodon dorbignyi,falsa yarará de hocico ñato,Reptilia,146537
8606188,2017-10-29 09:44:26,2017-10-29,2017-10-29 12:44:26 UTC,Montevideo,cmbiancardi,2021-06-07 20:15:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8606188,https://static.inaturalist.org/photos/11508991/medium.jpg,"taxonomy:kingdom=Animalia, Animalia, taxonomy:phylum=Chordata, Chordata, taxonomy:subphylum=Vertebrata, Vertebrata, taxonomy:class=Reptilia, Reptilia, taxonomy:order=Squamata, Squamata, taxonomy:suborder=Serpentes, Serpentes, taxonomy:family=Colubridae, Colubridae, taxonomy:genus=Philodryas, Philodryas, taxonomy:species=patagoniensis, taxonomy:binomial=Philodryas patagoniensis, Parelheira, Patagonia Green Racer, Philodryas patagoniensis, Patagonian Racer, taxonomy:common=Parelheira, taxonomy:common=Patagonia Green Racer, taxonomy:common=Patagonian Racer",2,0,false,"Paysandu, Uruguay",-32.402429,-57.936058,,,,,,,open,false,,,Culebra del Pastizal,Philodryas patagoniensis,Culebra del Pastizal,Reptilia,1250061
9853746,2005/04/06 4:09 PM AKDT,2005-04-06,2005-04-07 00:09:00 UTC,Alaska,vedrfolnir,2018-02-15 00:33:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9853746,https://inaturalist-open-data.s3.amazonaws.com/photos/13495581/medium.jpg,"",1,0,false,"Bosque de Ombues, Rocha Department, Uruguay",-34.3545615902,-53.8704299927,1541,,,,1541,,open,false,,,Argentine Black-and-white Tegu,Salvator merianae,Lagarto Overo,Reptilia,318758
10482060,Sun May 25 2014 17:43:45 GMT-0700 (PDT),2014-05-25,2014-05-26 00:43:45 UTC,Pacific Time (US & Canada),el-markos,2018-04-26 03:02:32 UTC,research,CC-BY,https://www.inaturalist.org/observations/10482060,https://static.inaturalist.org/photos/14573882/medium.jpg,"",2,0,false,Uruguay,-34.7589627784,-54.5903933636,33002,,,,33002,,obscured,true,,,Tortuga prieta,Chelonia mydas,Tortuga verde,Reptilia,39659
10492984,2018-03-20 1:47:44 PM GMT-03:00,2018-03-20,2018-03-20 13:47:44 UTC,UTC,camiloschettini,2022-02-26 05:50:40 UTC,research,,https://www.inaturalist.org/observations/10492984,https://static.inaturalist.org/photos/14592268/medium.jpeg,"",6,0,false,"Unnamed Road, 27204 Rocha, Uruguay",-34.0319380867,-53.5420820117,688,,,,688,,open,false,,,Dumeril's Diadem Snake,Phalotris lemniscatus,,Reptilia,109233
10594087,2012-11-15 11:01:03 am GMT+00:00,2012-11-15,2012-11-15 11:01:03 UTC,Casablanca,flo_grattarola,2021-12-09 23:43:24 UTC,research,CC0,https://www.inaturalist.org/observations/10594087,https://inaturalist-open-data.s3.amazonaws.com/photos/14769444/medium.jpeg,"",1,0,false,"Unnamed Road, Departamento de Lavalleja, Uruguay",-34.2856189561,-55.2689364552,1376,,,,1376,,open,false,gps,gps,Argentine Black-and-white Tegu,Salvator merianae,Lagarto Overo,Reptilia,318758
10594279,2013-03-17 1:53:35 pm GMT+00:00,2013-03-17,2013-03-17 13:53:35 UTC,Casablanca,flo_grattarola,2021-12-09 23:43:24 UTC,research,CC0,https://www.inaturalist.org/observations/10594279,https://inaturalist-open-data.s3.amazonaws.com/photos/14769763/medium.jpeg,"",2,0,false,"Unnamed Road, Departamento de Cerro Largo, Uruguay",-32.147285258,-53.7829688564,172,,,,172,,open,false,gps,gps,Erythrolamprus poecilogyrus sublineatus,Erythrolamprus poecilogyrus sublineatus,,Reptilia,540416
10594628,2016-10-21 2:27:21 pm BST,2016-10-21,2016-10-21 12:27:21 UTC,London,flo_grattarola,2021-12-09 23:43:24 UTC,research,CC0,https://www.inaturalist.org/observations/10594628,https://inaturalist-open-data.s3.amazonaws.com/photos/14770363/medium.jpeg,"",3,0,false,"Artigas, Departamento de Florida, Uruguay",-33.702632494,-56.3446471095,1376,,,,1376,,open,false,gps,gps,Culebra del Pastizal,Philodryas patagoniensis,Culebra del Pastizal,Reptilia,1250061
10697030,2013/11/14 5:37 PM UTC,2013-11-14,,UTC,camiloschettini,2022-02-26 05:50:40 UTC,research,,https://www.inaturalist.org/observations/10697030,https://static.inaturalist.org/photos/14939335/medium.jpg,"lagarto, lagarto overo, laguna negra, rocas",3,0,false,"Rocha, Uruguay",-34.0122577292,-53.5982608969,488,,,,488,,open,false,,,Argentine Black-and-white Tegu,Salvator merianae,Lagarto Overo,Reptilia,318758
12256135,2017/01/05 3:47 PM -02,2017-01-05,,Brasilia,liuid,2018-05-10 12:07:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12256135,https://inaturalist-open-data.s3.amazonaws.com/photos/17620934/medium.jpg,"",2,0,false,"Departamento de Rivera, Uruguay",-31.5228919184,-55.5930680016,63,,,,63,,open,false,,,Argentine Black-and-white Tegu,Salvator merianae,Lagarto Overo,Reptilia,318758
12359880,2018/02/24 ,2018-02-24,,Montevideo,gusper,2021-12-27 16:49:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12359880,https://inaturalist-open-data.s3.amazonaws.com/photos/17802868/medium.jpg,"",2,0,false,"Rocha, Uruguay",-33.9063256713,-53.653793335,977,,,,977,,open,false,,,Gunther´s Striped Snake,Lygophis anomalus,Culebra de líneas amarillas,Reptilia,104905
12360186,2018/01/12 ,2018-01-12,,Montevideo,gusper,2021-12-27 16:49:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12360186,https://inaturalist-open-data.s3.amazonaws.com/photos/17803565/medium.jpg,"",1,0,false,"Departamento de Lavalleja, Uruguay",-34.3721277,-55.0524835,194,,,,194,,open,false,,,Tegu blanco y negro,Salvator merianae,Lagarto Overo,Reptilia,318758
12484020,2018-05-15 1:21:59 PM GMT-03:00,2018-05-15,2018-05-15 10:21:59 UTC,Baghdad,mariajohanna,2022-02-19 18:56:31 UTC,research,,https://www.inaturalist.org/observations/12484020,https://static.inaturalist.org/photos/18017593/medium.jpeg,"",4,0,false,"Camino Brandi, Departamento de Canelones, Uruguay",-34.6419434073,-56.2681188011,4,,,,4,,,false,,,Tortuga de laguna,Phrynops hilarii,Tortuga de laguna,Reptilia,39626
